Time Period Start Date,Indicator,Group,Subgroup,State,Value,LowCI,HighCI
02-01-2022,Took Prescription Medication for Mental Health,By State,All,California,35.49,32.28,36.63
02-01-2022,Received Counseling or Therapy,By State,All,California,34.39,31.08,35.54
02-01-2022,Took Prescription Medication for Mental Health,By State,All,Texas,18.96,16.57,23.11
02-01-2022,Received Counseling or Therapy,By State,All,Texas,12.56,9.72,16.58
02-01-2022,Took Prescription Medication for Mental Health,By State,All,Florida,39.21,35.24,42.41
02-01-2022,Received Counseling or Therapy,By State,All,Florida,31.87,27.51,35.18
02-01-2022,Took Prescription Medication for Mental Health,By State,All,New York,23.19,19.75,24.25
02-01-2022,Received Counseling or Therapy,By State,All,New York,34.45,33.14,38.07
02-01-2022,Took Prescription Medication for Mental Health,By State,All,Illinois,14.59,10.8,19.24
02-01-2022,Received Counseling or Therapy,By State,All,Illinois,35.66,32.48,38.33
02-01-2022,Took Prescription Medication for Mental Health,National Estimate,All,USA,31.57,27.77,33.64
02-01-2022,Received Counseling or Therapy,National Estimate,All,USA,28.66,25.06,32.52
02-01-2022,Took Prescription Medication for Mental Health,By Age,18 - 29 years,USA,11.85,10.36,15.05
02-01-2022,Received Counseling or Therapy,By Age,18 - 29 years,USA,32.69,29.52,36.57
02-01-2022,Took Prescription Medication for Mental Health,By Age,30 - 44 years,USA,27.32,24.11,30.31
02-01-2022,Received Counseling or Therapy,By Age,30 - 44 years,USA,17.2,15.96,21.83
02-01-2022,Took Prescription Medication for Mental Health,By Age,45 - 64 years,USA,17.6,15.23,21.02
02-01-2022,Received Counseling or Therapy,By Age,45 - 64 years,USA,30.03,26.47,34.16
02-01-2022,Took Prescription Medication for Mental Health,By Age,65+,USA,36.01,32.43,40.34
02-01-2022,Received Counseling or Therapy,By Age,65+,USA,20.31,19.19,23.2
09-01-2022,Took Prescription Medication for Mental Health,By State,All,California,13.58,10.84,17.13
09-01-2022,Received Counseling or Therapy,By State,All,California,32.02,27.91,36.76
09-01-2022,Took Prescription Medication for Mental Health,By State,All,Texas,39.64,36.11,41.08
09-01-2022,Received Counseling or Therapy,By State,All,Texas,13.41,10.75,14.41
09-01-2022,Took Prescription Medication for Mental Health,By State,All,Florida,24.17,20.65,27
09-01-2022,Received Counseling or Therapy,By State,All,Florida,28.75,25.28,30.64
09-01-2022,Took Prescription Medication for Mental Health,By State,All,New York,24.76,21.14,27.23
09-01-2022,Received Counseling or Therapy,By State,All,New York,36.16,31.8,40.44
09-01-2022,Took Prescription Medication for Mental Health,By State,All,Illinois,31.76,26.99,33.92
09-01-2022,Received Counseling or Therapy,By State,All,Illinois,22.57,19.88,24.14
09-01-2022,Took Prescription Medication for Mental Health,National Estimate,All,USA,29.12,27.46,30.38
09-01-2022,Received Counseling or Therapy,National Estimate,All,USA,23.42,21.27,27.05
09-01-2022,Took Prescription Medication for Mental Health,By Age,18 - 29 years,USA,22.42,19.53,24.5
09-01-2022,Received Counseling or Therapy,By Age,18 - 29 years,USA,13.71,11.05,16.85
09-01-2022,Took Prescription Medication for Mental Health,By Age,30 - 44 years,USA,38.93,36.61,43.46
09-01-2022,Received Counseling or Therapy,By Age,30 - 44 years,USA,29.61,25.73,31.66
09-01-2022,Took Prescription Medication for Mental Health,By Age,45 - 64 years,USA,22.01,19.51,24.16
09-01-2022,Received Counseling or Therapy,By Age,45 - 64 years,USA,16.76,11.91,19
09-01-2022,Took Prescription Medication for Mental Health,By Age,65+,USA,15.4,12.88,16.52
09-01-2022,Received Counseling or Therapy,By Age,65+,USA,20.39,17.61,22.41
16-01-2022,Took Prescription Medication for Mental Health,By State,All,California,13.06,10.32,14.12
16-01-2022,Received Counseling or Therapy,By State,All,California,16.54,12.39,19.6
16-01-2022,Took Prescription Medication for Mental Health,By State,All,Texas,26.89,23.72,31.27
16-01-2022,Received Counseling or Therapy,By State,All,Texas,30.79,27.82,33.52
16-01-2022,Took Prescription Medication for Mental Health,By State,All,Florida,34.73,33.72,39.7
16-01-2022,Received Counseling or Therapy,By State,All,Florida,16.39,13.83,18.98
16-01-2022,Took Prescription Medication for Mental Health,By State,All,New York,32.47,29.04,35.72
16-01-2022,Received Counseling or Therapy,By State,All,New York,37.91,33.42,39.75
16-01-2022,Took Prescription Medication for Mental Health,By State,All,Illinois,16.79,12.44,18.08
16-01-2022,Received Counseling or Therapy,By State,All,Illinois,25.49,22.53,27.85
16-01-2022,Took Prescription Medication for Mental Health,National Estimate,All,USA,23.08,21.13,26.67
16-01-2022,Received Counseling or Therapy,National Estimate,All,USA,24.86,22.13,27.51
16-01-2022,Took Prescription Medication for Mental Health,By Age,18 - 29 years,USA,38.09,35.29,39.54
16-01-2022,Received Counseling or Therapy,By Age,18 - 29 years,USA,12.54,8.19,16.78
16-01-2022,Took Prescription Medication for Mental Health,By Age,30 - 44 years,USA,10.68,8.82,13.14
16-01-2022,Received Counseling or Therapy,By Age,30 - 44 years,USA,16.38,13.15,17.95
16-01-2022,Took Prescription Medication for Mental Health,By Age,45 - 64 years,USA,16.24,12.97,19.9
16-01-2022,Received Counseling or Therapy,By Age,45 - 64 years,USA,22.33,19.2,24.72
16-01-2022,Took Prescription Medication for Mental Health,By Age,65+,USA,22.11,18.85,25.87
16-01-2022,Received Counseling or Therapy,By Age,65+,USA,39.74,36.54,40.88
23-01-2022,Took Prescription Medication for Mental Health,By State,All,California,14.18,9.56,18.45
23-01-2022,Received Counseling or Therapy,By State,All,California,17.09,12.92,21.56
23-01-2022,Took Prescription Medication for Mental Health,By State,All,Texas,37.03,34.81,38.32
23-01-2022,Received Counseling or Therapy,By State,All,Texas,15.29,13.27,18.35
23-01-2022,Took Prescription Medication for Mental Health,By State,All,Florida,23.49,19.23,25.15
23-01-2022,Received Counseling or Therapy,By State,All,Florida,32.74,28.1,35.32
23-01-2022,Took Prescription Medication for Mental Health,By State,All,New York,28.34,23.82,33.14
23-01-2022,Received Counseling or Therapy,By State,All,New York,20.54,17.67,21.65
23-01-2022,Took Prescription Medication for Mental Health,By State,All,Illinois,25.45,23.2,27.31
23-01-2022,Received Counseling or Therapy,By State,All,Illinois,11.36,8.67,15.12
23-01-2022,Took Prescription Medication for Mental Health,National Estimate,All,USA,30.84,29.27,32.69
23-01-2022,Received Counseling or Therapy,National Estimate,All,USA,32.71,31.25,33.95
23-01-2022,Took Prescription Medication for Mental Health,By Age,18 - 29 years,USA,28.3,25.16,33
23-01-2022,Received Counseling or Therapy,By Age,18 - 29 years,USA,34.25,29.53,36.83
